number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_learning_rate,params_n_layers,params_units,user_attrs_n_params,user_attrs_val_r2,user_attrs_val_rmse,system_attrs_tpe:relative_params:0,state
0,0.6847189664840698,2026-09-15 10:04:15.265145,2026-09-15 10:04:20.611814,0 days 00:00:05.346669,32,0.02904180608409973,0.0029621516588303515,1,32,5281,0.04230600595474243,0.960703224218729,,COMPLETE
1,0.906889021396637,2026-09-15 10:04:20.612445,2026-09-15 10:04:26.710067,0 days 00:00:06.097622,32,0.2623782158161189,0.0005418282319533242,1,16,1617,-0.4863452911376953,1.1968389500699248,,COMPLETE
2,0.92983478307724,2026-09-15 10:04:26.710650,2026-09-15 10:04:36.970184,0 days 00:00:10.259534,16,0.29620728443102123,0.00011992724522955161,2,96,114529,-0.5276119709014893,1.2133396564483068,,COMPLETE
3,1.1360574960708618,2026-09-15 10:04:36.970739,2026-09-15 10:04:45.396524,0 days 00:00:08.425785,64,0.22007624686980065,0.000161190447276092,2,32,13601,-1.1172549724578857,1.4284414896453441,,COMPLETE
4,0.7928904891014099,2026-09-15 10:04:45.397155,2026-09-15 10:04:48.661665,0 days 00:00:03.264510,16,0.4847923138822793,0.002074566765675252,1,32,5281,-0.07584095001220703,1.0182393976788624,,COMPLETE
5,0.8118609189987183,2026-09-15 10:04:48.661948,2026-09-15 10:04:52.747750,0 days 00:00:04.085802,64,0.13567451588694796,0.0025585868855934266,1,16,1617,-0.27147603034973145,1.1069549706560975,,COMPLETE
6,0.40928298234939575,2026-09-15 10:04:52.747992,2026-09-15 10:05:00.833710,0 days 00:00:08.085718,64,0.0027610585618011996,0.0024290950368254976,1,96,40417,0.6089253425598145,0.6139113961011625,,COMPLETE
7,0.4707568287849426,2026-09-15 10:05:00.837407,2026-09-15 10:05:09.422476,0 days 00:00:08.585069,32,0.03177917514301182,0.0003375589571206084,1,96,40417,0.4924904704093933,0.6993554477157374,,COMPLETE
8,1.2514556646347046,2026-09-15 10:05:09.423430,2026-09-15 10:05:14.510841,0 days 00:00:05.087411,16,0.3854835899772805,0.0006901506581791928,2,16,3729,-1.528075933456421,1.5608850143818884,,COMPLETE
9,0.8911839127540588,2026-09-15 10:05:14.511136,2026-09-15 10:05:20.233412,0 days 00:00:05.722276,16,0.12464611457443747,0.0004979987773685088,2,64,51777,-0.41884469985961914,1.169346688690893,,COMPLETE
10,0.7877764105796814,2026-09-15 10:05:20.234002,2026-09-15 10:05:25.600406,0 days 00:00:05.366404,64,0.3270035805000016,0.0031924725857526825,2,96,114529,-0.04233193397521973,1.002256529678537,"{""batch_size"": 64, ""dropout"": 0.3270035805000016, ""learning_rate"": 0.0031924725857526825, ""n_layers"": 2, ""units"": 96}",COMPLETE
11,0.3892982006072998,2026-09-15 10:05:25.600630,2026-09-15 10:05:34.295461,0 days 00:00:08.694831,32,0.03706118044100799,0.0006726887229962237,1,96,40417,0.6681196689605713,0.565544261755072,"{""batch_size"": 32, ""dropout"": 0.03706118044100799, ""learning_rate"": 0.0006726887229962237, ""n_layers"": 1, ""units"": 96}",COMPLETE
