tag,modelo,janela,unidades,camadas,dropout,l2,parametros,epocas,mae_val,rmse_val,r2_val,tempo_treino_s,tempo_por_epoca_s,mae_test,rmse_test,r2_test
baseline,Persistencia,1,,,,,0,,0.05832558139534882,0.10395711325036318,0.9887860990546212,0.0,0.0,,,
baseline,Persistencia,1,,,,,0,,,,,0.0,0.0,0.025632183908046,0.052773643717904946,0.9771463344271167
principal,SimpleRNN,4,64.0,1.0,0.2,0.0,4737,48.0,0.6782057881355286,0.896048545861255,0.16687268018722534,3.6183592499874067,0.07538248437473764,0.9491279125213623,0.9848537794495471,-6.959123134613037
principal,GRU,4,64.0,1.0,0.2,0.0,14273,29.0,0.7478463649749756,1.028172379999173,-0.09693312644958496,3.1984472920012195,0.11029128593107654,1.1108996868133545,1.1515163748831996,-9.880828857421875
principal,LSTM,4,64.0,1.0,0.2,0.0,18753,40.0,0.7714492678642273,1.0565990503279812,-0.15842711925506592,4.071129291987745,0.10177823229969363,1.1225640773773193,1.1614468264615612,-10.069305419921875
principal,SimpleRNN,12,64.0,1.0,0.2,0.0,4737,47.0,0.6852461695671082,0.8844252514800077,0.1883467435836792,3.9173887909855694,0.08334869768054402,1.0204188823699951,1.0536795426748249,-8.110428810119629
principal,GRU,12,64.0,1.0,0.2,0.0,14273,33.0,0.7654820084571838,1.0490705895360564,-0.14197790622711182,5.323325958976056,0.16131290784775928,1.1489673852920532,1.187981257043558,-10.580862998962402
principal,LSTM,12,64.0,1.0,0.2,0.0,18753,76.0,0.6121675968170166,0.780408062260315,0.36803680658340454,8.683432041987544,0.114255684762994,0.7156440615653992,0.7415494886977722,-3.5123414993286133
principal,SimpleRNN,26,64.0,1.0,0.2,0.0,4737,34.0,0.7039012312889099,0.9591279708973395,0.04544401168823242,3.784412125009112,0.11130623897085623,1.1588473320007324,1.1924161539251052,-10.667489051818848
principal,GRU,26,64.0,1.0,0.2,0.0,14273,22.0,0.7468916177749634,1.0311514489449725,-0.10329890251159668,4.730619625013787,0.21502816477335396,1.0915125608444214,1.1327329936572603,-9.5287504196167
principal,LSTM,26,64.0,1.0,0.2,0.0,18753,31.0,0.6995181441307068,0.9641023636896481,0.035516977310180664,5.594714750011917,0.18047466935522313,0.8940762877464294,0.9487933237690863,-6.386946201324463
unidades,SimpleRNN,12,32.0,1.0,0.2,0.0,1345,33.0,0.8299938440322876,1.1002043880966654,-0.2560156583786011,3.2499320000060834,0.09848278787897223,1.1195878982543945,1.1541486667556111,-9.930630683898926
unidades,SimpleRNN,12,128.0,1.0,0.2,0.0,17665,22.0,0.5305882096290588,0.796401799642138,0.34186840057373047,2.67344891699031,0.12152040531774136,0.7530210614204407,0.8039050325582793,-4.303116798400879
unidades,GRU,12,32.0,1.0,0.2,0.0,4065,22.0,0.7809101343154907,1.049394223898769,-0.14268255233764648,3.0830992909905035,0.1401408768632047,1.1550896167755127,1.1919339371558406,-10.658055305480957
unidades,GRU,12,128.0,1.0,0.2,0.0,53121,23.0,0.45450544357299805,0.6578757493516589,0.5509072542190552,4.944488208013354,0.21497774817449364,0.602556049823761,0.638431958974132,-2.3446521759033203
unidades,LSTM,12,32.0,1.0,0.2,0.0,5281,49.0,0.715255081653595,1.0062328645183076,-0.05061912536621094,4.9058109170000535,0.10011859014285823,0.9853817224502563,1.0257835579909358,-7.634420394897461
unidades,LSTM,12,128.0,1.0,0.2,0.0,70273,22.0,0.5367255806922913,0.7692429055577013,0.3859902620315552,4.77102095799637,0.21686458899983502,0.7011469602584839,0.7433963768430221,-3.534846782684326
profundidade,GRU,12,64.0,2.0,0.2,0.0,39233,28.0,0.7450640201568604,1.020354483005031,-0.08031511306762695,7.91119366599014,0.2825426309282193,1.1173416376113892,1.1596934104939454,-10.035908699035645
profundidade,LSTM,12,64.0,2.0,0.2,0.0,51777,87.0,0.7510682940483093,1.0232052139036047,-0.08635997772216797,17.818637582997326,0.20481192624134859,1.1030592918395996,1.1359840981686822,-9.589275360107422
regularizacao,LSTM,12,64.0,1.0,0.0,0.0,18753,83.0,0.4223525822162628,0.6204078773950257,0.600604772567749,9.233356957993237,0.11124526455413539,0.5129199624061584,0.5494344762433175,-1.4771568775177002
regularizacao,LSTM,12,64.0,1.0,0.4,0.0,18753,45.0,0.6555091738700867,0.8694250434387356,0.21564513444900513,8.964789709018078,0.19921754908929062,0.8472608327865601,0.8771991002450895,-5.314196586608887
regularizacao,LSTM,12,64.0,1.0,0.0,0.001,18753,100.0,0.29990512132644653,0.4507177800761402,0.7892062664031982,16.595258457993623,0.16595258457993622,0.33431628346443176,0.36278738271692107,-0.08000576496124268
optuna_best,LSTM,12,96.0,1.0,0.03706118044100799,0.0,40417,86.0,0.34586459398269653,0.48477115120761827,0.7561505436897278,12.27211495899246,0.1426990111510751,0.3931472599506378,0.4193461530175804,-0.4430023431777954
